Designator,Mid X,Mid Y,Rotation,Layer
_16,205.5,-174.95,0.0,top
_15,205.5,-175.75,0.0,top
_14,212.5,-173.35,0.0,top
_13,212.5,-128.45,0.0,top
_12,212.5,-174.15,0.0,top
_11,212.5,-174.95,0.0,top
_10,205.5,-173.35,0.0,top
_9,205.5,-127.65,0.0,top
_8,205.5,-174.15,0.0,top
_7,212.5,-127.65,0.0,top
_6,205.5,-126.85,0.0,top
_5,205.5,-126.05,0.0,top
_4,212.5,-126.05,0.0,top
_3,212.5,-126.85,0.0,top
_2,212.5,-175.75,0.0,top
,205.5,-128.45,0.0,top
BT1,201.75,-170.25,90.0,bottom
BT2,216.25,-170.25,270.0,bottom
D1,81.75,-127.75,270.0,bottom
D10,138.75,-132.5,270.0,bottom
D11,157.75,-137.25,270.0,bottom
D12,176.75,-137.25,270.0,bottom
D13,81.75,-165.75,270.0,bottom
D14,100.75,-165.75,270.0,bottom
D15,119.75,-156.25,270.0,bottom
D16,138.75,-151.5,270.0,bottom
D17,157.75,-156.25,270.0,bottom
D18,176.75,-156.25,270.0,bottom
D19,119.75,-175.25,270.0,bottom
D2,100.75,-127.75,270.0,bottom
D20,138.75,-170.5,270.0,bottom
D21,157.75,-175.25,270.0,bottom
D22,177.589169,-179.37588,285.0,bottom
D23,195.684477,-188.495929,300.0,bottom
D24,347.75,-127.75,270.0,bottom
D25,328.75,-127.75,270.0,bottom
D26,309.75,-118.25,270.0,bottom
D27,290.75,-113.5,270.0,bottom
D28,271.75,-118.25,270.0,bottom
D29,252.75,-118.25,270.0,bottom
D3,119.75,-118.25,270.0,bottom
D30,347.75,-146.75,270.0,bottom
D31,328.75,-146.75,270.0,bottom
D32,309.75,-137.25,270.0,bottom
D33,290.75,-132.5,270.0,bottom
D34,271.75,-137.25,270.0,bottom
D35,252.75,-137.25,270.0,bottom
D36,347.75,-165.75,270.0,bottom
D37,328.75,-165.75,270.0,bottom
D38,309.75,-156.25,270.0,bottom
D39,290.75,-151.5,270.0,bottom
D4,138.75,-113.5,270.0,bottom
D40,271.75,-156.25,270.0,bottom
D41,252.75,-156.25,270.0,bottom
D42,309.75,-175.25,270.0,bottom
D43,290.75,-170.5,270.0,bottom
D44,271.75,-175.25,270.0,bottom
D45,251.518978,-176.399461,255.0,bottom
D46,232.274815,-182.745929,240.0,bottom
D5,157.75,-118.25,270.0,bottom
D6,176.75,-118.25,270.0,bottom
D7,81.75,-146.75,270.0,bottom
D8,100.75,-146.75,270.0,bottom
D9,119.75,-137.25,270.0,bottom
J1,198.725,-114.5,270.0,bottom
J2,219.275,-114.5,90.0,bottom
RSW1,204.1,-136.25,90.0,bottom
RSW2,213.9,-136.25,270.0,bottom
SW1,74.945,-123.935,0.0,top
SW10,131.945,-128.685,0.0,top
SW11,150.945,-133.435,0.0,top
SW12,169.945,-133.435,0.0,top
SW13,74.945,-161.935,0.0,top
SW14,93.945,-161.935,0.0,top
SW15,112.945,-152.435,0.0,top
SW16,131.945,-147.685,0.0,top
SW17,150.945,-152.435,0.0,top
SW18,169.945,-152.435,0.0,top
SW19,112.945,-171.435,0.0,top
SW2,93.945,-123.935,0.0,top
SW20,131.945,-166.685,0.0,top
SW21,150.945,-171.435,0.0,top
SW22,172.281668,-174.816438,345.0,top
SW23,192.236174,-182.398544,330.0,top
SW24,340.945,-123.935,0.0,top
SW25,321.945,-123.935,0.0,top
SW26,302.945,-114.435,0.0,top
SW27,283.945,-109.685,0.0,top
SW28,264.945,-114.435,0.0,top
SW29,245.945,-114.435,0.0,top
SW3,112.945,-114.435,0.0,top
SW30,340.945,-142.935,0.0,top
SW31,321.945,-142.935,0.0,top
SW32,302.945,-133.435,0.0,top
SW33,283.945,-128.685,0.0,top
SW34,264.945,-133.435,0.0,top
SW35,245.945,-133.435,0.0,top
SW36,340.945,-161.935,0.0,top
SW37,321.945,-161.935,0.0,top
SW38,302.945,-152.435,0.0,top
SW39,283.945,-147.685,0.0,top
SW4,131.945,-109.685,0.0,top
SW40,264.945,-152.435,0.0,top
SW41,245.945,-152.435,0.0,top
SW42,302.945,-171.435,0.0,top
SW43,283.945,-166.685,0.0,top
SW44,264.945,-171.435,0.0,top
SW45,243.610551,-173.567744,15.0,top
SW46,224.233837,-181.913564,30.0,top
SW5,150.945,-114.435,0.0,top
SW6,169.945,-114.435,0.0,top
SW7,74.945,-142.935,0.0,top
SW8,93.945,-142.935,0.0,top
SW9,112.945,-133.435,0.0,top
U1,189.64,-122.53,0.0,top
U2,228.36,-122.53,0.0,top
